m2, -0.587287, 0.875435, -2.618223, 1.392932, 0.638860, -1.534279, 
m3, -0.591425, 0.875790, -2.400186, 1.401558, 0.638880, -1.762846, 
m4, -0.593657, 0.875788, -2.414257, 1.401704, 0.638875, -2.007113, 
m5, -0.593780, 0.875581, -2.411217, 1.401811, 0.638881, -2.335314, 
m6, -0.620085, 0.875495, -2.413068, 1.401846, 0.638873, -2.670879, 
m7, -0.558133, 0.886181, -2.498618, 1.612741, 0.634549, -2.076385, 
m8, -0.686858, 0.886205, -2.498548, 1.612744, 0.634549, -2.076384, 
m9, -0.765540, 0.886620, -2.497021, 1.612744, 0.634549, -2.076384, 
m10, -0.765564, 0.887609, -2.528003, 1.383768, 0.634543, -2.076385, 
m11, -0.607740, 0.916856, -2.546556, 1.204593, 0.634537, -2.076385, 
m12, -0.606501, 0.918359, -2.442267, 1.220307, 0.634531, -1.847538, 
m13, -0.546910, 0.918333, -2.304680, 1.220313, 0.634537, -1.847543, 
m14, -0.514981, 0.852332, -2.327333, 1.327768, 0.634966, -1.854562, 
m15, -0.734079, 0.852382, -2.512817, 1.327765, 0.634962, -1.854561, 
m16, -0.796413, 0.852374, -2.535036, 1.432663, 0.634549, -1.421667, 
m17, -0.944319, 0.872189, -2.499152, 1.432686, 0.634549, -1.421670, 
m18, -1.049552, 0.872157, -2.499097, 1.432714, 0.954595, -1.423400, 
m19, -0.617675, 0.851495, -2.661409, 1.675500, 0.954490, -1.423405, 
m20, -0.507223, 0.922687, -2.655068, 1.675500, 0.954492, -1.423404, 
m21, -0.507260, 0.966729, -2.655080, 1.675497, 0.954493, -1.423401, 
m22, -0.748612, 0.959290, -2.995694, 1.675501, 0.954490, -1.423404, 
m23, -0.897809, 0.963485, -2.715435, 1.675500, 0.954495, -1.423404, 
m24, -0.897490, 1.156520, -2.853322, 1.252106, 0.954552, -1.423411, 
m25, -0.762517, 1.145170, -3.043006, 1.252472, 0.954545, -1.423413, 
m26, -0.772357, 1.117295, -3.184650, 1.252507, 0.954544, -1.423415, 
m27, -0.626047, 0.768448, -2.338341, 1.252503, 0.954547, -1.423404, 
m28, -0.454377, 0.768772, -2.338339, 1.252547, 0.954545, -1.423405, 
m29, -0.454660, 0.855208, -2.328780, 1.409799, 0.954529, -1.423402, 
m30, -0.716162, 0.855330, -2.665512, 1.397154, 0.954500, -1.423410, 
m31, -0.776642, 0.917470, -2.558871, 1.397474, 0.954504, -1.423406, 
mm12, -0.214132, 0.738819, -1.943996, 0.908117, 0.871319, -0.960812, 
0620, -0.386638, 1.342066, -2.403371, 1.451004, -0.053005, 0.008726, 
open, 0.129296, 0.630200, -1.301561, 0.932908, 0.103408, 0.001155, 
handeye, 0.327703, 0.721937, -0.635301, -0.070635, -0.003428, 0.000556, 
zuhui0, 0.433430, 0.789222, -1.540925, 1.234407, 0.015866, -0.001762, 
zuhui1, -0.385500, 1.788709, -1.489138, 0.642862, -0.222982, -0.001881, 
zuhui2, -0.434256, 0.931660, -1.494554, 1.321679, -0.002273, -0.001860, 
zuhui3, 0.327442, 1.875790, -1.059772, -0.824050, -0.000136, 0.000078, 
zuhui, -0.243995, 0.719821, -0.721735, -0.020004, -0.000130, 0.000077, 
fangzhi, 0.722415, 2.038416, -1.155447, -0.828278, -0.722181, 0.223749, 
tcp1, -0.051794, 1.176354, -0.597391, 0.171476, 0.014736, -0.001809, 
tcp2, 0.315161, 1.750644, -1.506522, 1.120089, -0.397999, -0.722452, 
tcp3, 0.538383, 1.487206, -0.923257, 0.596271, -0.646035, -0.001796, 
tcp1-0.690994, 1.988648, -1.644764, 1.357178, 0.703929, -1.926538, 
tcp4, -0.875762, 1.546408, -0.704483, 0.411849, 0.938943, -0.001995, 
tcp5, -0.690994, 1.988648, -1.644764, 1.357178, 0.703929, -1.926538, 
tcp6, 0.537976, 1.907098, -1.564059, 1.262248, -0.652195, -0.370829, 
tcp7, 0.798691, 1.477573, -0.525016, 0.171389, -0.941481, 0.001271, 
tcp8, 0.165168, 1.280497, -0.795260, 0.405515, -0.228417, 0.001283, 
tcp9, 0.161610, 1.964641, -1.951591, 1.480504, -0.232727, 0.001287, 
tcp10, 0.712804, 1.983176, -1.416909, 1.237610, -0.842903, -0.087785, 
stop, -0.047733, 1.581823, -1.937384, 1.542412, -0.002723, 0.001225, 
